feature,group,avgExpr,logFC,statistic,auc,pval,padj,pct_in,pct_out,celltype,neglogp,sig
Ddx17,Null,0.5272700680122665,0.016100675007898024,119524,0.5070807348012388,0.6974684808380585,1,66.46090534979425,68.04123711340206,Recruited macrophage,-0,FALSE
Dmc1,Null,0,-8.517700153004793e-4,117612,0.49896907216494846,0.31780890276417706,1,0,0.2061855670103093,Recruited macrophage,-0,FALSE
Fam227a,Null,0.0018285937998491944,-0.0024547095471215757,117367,0.4979296593271393,0.41109017268645687,1,0.411522633744856,0.8247422680412372,Recruited macrophage,-0,FALSE
Cby1,Null,0.05931851278449785,-0.023531375026610395,113650,0.4821602817020916,0.11189281025433637,1,12.551440329218108,15.670103092783505,Recruited macrophage,-0,FALSE
Tomm22,Null,0.8507207302413504,0.05064374725435361,124559.5,0.5284438504942515,0.12420959325364316,1,84.97942386831275,83.29896907216495,Recruited macrophage,-0,FALSE
Josd1,Null,0.047682375580819954,-0.015036576124696381,113590,0.4819057316193628,0.0642766609853703,0.903427078760418,8.436213991769549,12.164948453608247,Recruited macrophage,0.04410689630730256,FALSE
Gtpbp1,Null,0.06898053924679808,-0.0013760819378874634,117032,0.49650842136523693,0.7446123338300392,1,12.345679012345679,12.989690721649486,Recruited macrophage,-0,FALSE
Sun2,Null,0.11045849480601921,-0.03012406803825965,112827.5,0.4786708243180179,0.12088270068474077,1,21.604938271604937,25.15463917525773,Recruited macrophage,-0,FALSE
Gm16575,Null,0,0,117855,0.5,1,1,0,0,Recruited macrophage,-0,FALSE
Gm16576,Null,0.009411280501684239,0.0015800780826100633,117623.5,0.4990178609308048,0.8045338178476379,1,1.440329218106996,1.6494845360824744,Recruited macrophage,-0,FALSE
Dnal4,Null,0.07347560975819292,-0.007109752812015244,115650,0.49064528445971745,0.414444483151638,1,13.991769547325102,15.670103092783505,Recruited macrophage,-0,FALSE
Nptxr,Null,7.17842269265693e-4,7.17842269265693e-4,118097.5,0.5010288065843621,0.31880774568515696,1,0.205761316872428,0,Recruited macrophage,-0,FALSE
Cbx6,Null,0.015795035158347563,0.003870974040342241,118103,0.5010521403419456,0.8133624082156654,1,2.05761316872428,1.8556701030927836,Recruited macrophage,-0,FALSE
Gm10856,Null,0,0,117855,0.5,1,1,0,0,Recruited macrophage,-0,FALSE
